#anum	Symbol	prime
1	H	2
2	He	3
3	Li	5
4	Be	7
5	B	11
6	C	13
7	N	17
8	O	19
9	F	23
10	Ne	29
11	Na	31
12	Mg	37
13	Al	41
14	Si	43
15	P	47
16	S	53
17	Cl	59
18	Ar	61
19	K	67
20	Ca	71
21	Sc	73
22	Ti	79
23	V	83
24	Cr	89
25	Mn	97
26	Fe	101
27	Co	103
28	Ni	107
29	Cu	109
30	Zn	113
31	Ga	127
32	Ge	131
33	As	137
34	Se	139
35	Br	149
36	Kr	151
37	Rb	157
38	Sr	163
39	Y	167
40	Zr	173
41	Nb	179
42	Mo	181
43	Tc	191
44	Ru	193
45	Rh	197
46	Pd	199
47	Ag	211
48	Cd	223
49	In	227
50	Sn	229
51	Sb	233
52	Te	239
53	I	241
54	Xe	251
55	Cs	257
56	Ba	263
57	La	269
58	Ce	271
59	Pr	277
60	Nd	281
61	Pm	283
62	Sm	293
63	Eu	307
64	Gd	311
65	Tb	313
66	Dy	317
67	Ho	331
68	Er	337
69	Tm	347
70	Yb	349
71	Lu	353
72	Hf	359
73	Ta	367
74	W	373
75	Re	379
76	Os	383
77	Ir	389
78	Pt	397
79	Au	401
80	Hg	409
81	Tl	419
82	Pb	421
83	Bi	431
84	Po	433
85	At	439
86	Rn	443
87	Fr	449
88	Ra	457
89	Ac	461
90	Th	463
91	Pa	467
92	U	479
93	Np	487
94	Pu	491
95	Am	499
96	Cm	503
97	Bk	509
98	Cf	521
99	Es	523
100	Fm	541
101	Md	547
102	No	557
103	Lr	563
104	Rf	569
105	Db	571
106	Sg	577
107	Bh	587
108	Hs	593
109	Mt	599
110	Ds	601
111	Rg	607
112	Cn	613
113	Nh	617
114	Fl	619
115	Mc	631
116	Lv	641
117	Ts	643
118	Og	647
